category,item,selection
Work,badge,Yes
Work,chiavetta di sicurezza,Yes
Work,macbook + ricarica,Yes
Vestiti,borsetta,Yes
Vestiti,calze,Yes
Vestiti,cappello,Yes
Vestiti,giacca,Yes
Vestiti,guanti,Yes
Vestiti,magliette / canottiere,Yes
Vestiti,maglioncini / felpe,Yes
Vestiti,mutande,Yes
Vestiti,ombrello,Yes
Vestiti,pantaloni corti,Yes
Vestiti,pantaloni lunghi,Yes
Vestiti,reggiseni,Yes
Vestiti,scarpe,Yes
Vestiti,sciarpa,Yes
Travel bag,acqua,Yes
Travel bag,adattatore prese elettriche,Yes
Travel bag,cash,Yes
Travel bag,fazzoletti,Yes
Travel bag,gel disinfettante,Yes
Travel bag,mascherine covid,Yes
Travel bag,passaporto / documenti,Yes
Travel bag,"portafoglio (cb, carte vitale, etc)",Yes
Toilette,assorbenti,Yes
Toilette,balsamo,Yes
Toilette,burrocacao,Yes
Toilette,crema corpo,Yes
Toilette,crema piedi,Yes
Toilette,crema ricci,Yes
Toilette,crema viso,Yes
Toilette,dentifricio,Yes
Toilette,deodorante,Yes
Toilette,dischi di cotone,Yes
Toilette,elastici e pinzette capelli,Yes
Toilette,forbici unghie,Yes
Toilette,medicine (varie ed eventuali),Yes
Toilette,phon,Yes
Toilette,pinzette,Yes
Toilette,profumo,Yes
Toilette,shampoo,Yes
Toilette,spazzola doccia,Yes
Toilette,spazzola normale,Yes
Toilette,spazzola tonda,Yes
Toilette,spazzolino,Yes
Toilette,strisce depilatorie,Yes
Toilette,struccante,Yes
Toilette,tagliaunghie,Yes
Toilette,trucchi,Yes
Tempo libero,cibo da condividere,No
Tempo libero,macchina fotografica,No
Tempo libero,freesbee,No
Tempo libero,giochi da tavolo / carte,No
Tempo libero,libro da leggere,No
Tempo libero,palla,No
Tempo libero,salse piccanti,No
Tempo libero,settimana enigmistica,No
Tempo libero,slack line,No
Sport - Vélo,antivento o antipioggia,No
Sport - Vélo,barrette energetiche,No
Sport - Vélo,bici,No
Sport - Vélo,borracce bici,No
Sport - Vélo,buff,No
Sport - Vélo,calze bici,No
Sport - Vélo,camere aria di riserva,No
Sport - Vélo,capteur de cadence,No
Sport - Vélo,casco bici,No
Sport - Vélo,cintura cardiaca,No
Sport - Vélo,copriscarpe neoprene,No
Sport - Vélo,fascia orecchie,No
Sport - Vélo,Garmin e ricarica,No
Sport - Vélo,guanti bici,No
Sport - Vélo,luci bici e ricarica,No
Sport - Vélo,maglia bici,No
Sport - Vélo,mini-pompa,No
Sport - Vélo,multi-util,No
Sport - Vélo,pantaloni bici,No
Sport - Vélo,sacca trasporto treno + accessori,No
Sport - Vélo,scarpe bici,No
Sport - Triathlon (add-on),asciugamano transizione,No
Sport - Triathlon (add-on),casquette,No
Sport - Triathlon (add-on),ceinture porte dossard,No
Sport - Triathlon (add-on),certificat médical (imprimé),No
Sport - Triathlon (add-on),licence triathlon (imprimée),No
Sport - Triathlon (add-on),sciroppo borracce,No
Sport - Triathlon (add-on),trifonction,No
Sport - Triathlon (add-on),zaino triathlon,No
Sport - Ski rando,barrette energetiche,No
Sport - Ski rando,barrette energetiche,No
Sport - Ski rando,bastoni sci,No
Sport - Ski rando,buff (pile e non),No
Sport - Ski rando,calze sci,No
Sport - Ski rando,camelbag,No
Sport - Ski rando,casco alpinismo,No
Sport - Ski rando,corpi camelbag neoprene,No
Sport - Ski rando,fascia orecchie,No
Sport - Ski rando,Garmin + ricarica,No
Sport - Ski rando,giacca guscio alpinismo,No
Sport - Ski rando,guanti sci,No
Sport - Ski rando,"kit sicurezza ski: coperta sopravvivenza, compeed, scaldamani, fazzoletti, coltello",No
Sport - Ski rando,luce frontale,No
Sport - Ski rando,maschera sci,No
Sport - Ski rando,mini portafoglio essentials,No
Sport - Ski rando,mini portafoglio essentials,No
Sport - Ski rando,mutande sport,No
Sport - Ski rando,occhiali da sole sport,No
Sport - Ski rando,pantaloni guscio alpinismo,No
Sport - Ski rando,passamontagna,No
Sport - Ski rando,pelli,No
Sport - Ski rando,pile sci,No
Sport - Ski rando,piumino,No
Sport - Ski rando,ramponi sci,No
Sport - Ski rando,reggiseni sport,No
Sport - Ski rando,scarponi sci,No
Sport - Ski rando,sci,No
